ID,Location,Country,Parking Available,Weather,Temperature,Rain,Wind Speed,Description
1143,Sydney Opera House,Australia,No,Windy,18,Heavy,8,"Information about Sydney Opera House in Australia, weather condition: Windy."
1144,Taj Mahal,India,Yes,Snowy,19,None,9,"Information about Taj Mahal in India, weather condition: Snowy."
1145,Mount Fuji,Japan,No,Foggy,20,Light,10,"Information about Mount Fuji in Japan, weather condition: Foggy."
1146,Christ the Redeemer,Brazil,Yes,Sunny,21,Moderate,11,"Information about Christ the Redeemer in Brazil, weather condition: Sunny."
1147,Big Ben,UK,No,Cloudy,22,Heavy,12,"Information about Big Ben in UK, weather condition: Cloudy."
1148,Eiffel Tower,France,Yes,Rainy,23,None,13,"Information about Eiffel Tower in France, weather condition: Rainy."
1149,Great Wall of China,China,No,Windy,24,Light,14,"Information about Great Wall of China in China, weather condition: Windy."
1150,Central Park,USA,Yes,Snowy,25,Moderate,15,"Information about Central Park in USA, weather condition: Snowy."
1151,Times Square,Canada,No,Foggy,26,Heavy,16,"Information about Times Square in Canada, weather condition: Foggy."
1152,Berlin Wall,Germany,Yes,Sunny,27,None,17,"Information about Berlin Wall in Germany, weather condition: Sunny."
1153,Sydney Opera House,Australia,No,Cloudy,28,Light,18,"Information about Sydney Opera House in Australia, weather condition: Cloudy."
1154,Taj Mahal,India,Yes,Rainy,29,Moderate,19,"Information about Taj Mahal in India, weather condition: Rainy."
1155,Mount Fuji,Japan,No,Windy,30,Heavy,5,"Information about Mount Fuji in Japan, weather condition: Windy."
1156,Christ the Redeemer,Brazil,Yes,Snowy,31,None,6,"Information about Christ the Redeemer in Brazil, weather condition: Snowy."
1157,Big Ben,UK,No,Foggy,32,Light,7,"Information about Big Ben in UK, weather condition: Foggy."
1158,Eiffel Tower,France,Yes,Sunny,33,Moderate,8,"Information about Eiffel Tower in France, weather condition: Sunny."
1159,Great Wall of China,China,No,Cloudy,34,Heavy,9,"Information about Great Wall of China in China, weather condition: Cloudy."
1160,Central Park,USA,Yes,Rainy,35,None,10,"Information about Central Park in USA, weather condition: Rainy."
1161,Times Square,Canada,No,Windy,36,Light,11,"Information about Times Square in Canada, weather condition: Windy."
1162,Berlin Wall,Germany,Yes,Snowy,37,Moderate,12,"Information about Berlin Wall in Germany, weather condition: Snowy."
1163,Sydney Opera House,Australia,No,Foggy,38,Heavy,13,"Information about Sydney Opera House in Australia, weather condition: Foggy."
1164,Taj Mahal,India,Yes,Sunny,39,None,14,"Information about Taj Mahal in India, weather condition: Sunny."
1165,Mount Fuji,Japan,No,Cloudy,40,Light,15,"Information about Mount Fuji in Japan, weather condition: Cloudy."
1166,Christ the Redeemer,Brazil,Yes,Rainy,41,Moderate,16,"Information about Christ the Redeemer in Brazil, weather condition: Rainy."
1167,Big Ben,UK,No,Windy,42,Heavy,17,"Information about Big Ben in UK, weather condition: Windy."
1168,Eiffel Tower,France,Yes,Snowy,43,None,18,"Information about Eiffel Tower in France, weather condition: Snowy."
1169,Great Wall of China,China,No,Foggy,44,Light,19,"Information about Great Wall of China in China, weather condition: Foggy."
1170,Central Park,USA,Yes,Sunny,15,Moderate,5,"Information about Central Park in USA, weather condition: Sunny."
1171,Times Square,Canada,No,Cloudy,16,Heavy,6,"Information about Times Square in Canada, weather condition: Cloudy."
1172,Berlin Wall,Germany,Yes,Rainy,17,None,7,"Information about Berlin Wall in Germany, weather condition: Rainy."
1173,Sydney Opera House,Australia,No,Windy,18,Light,8,"Information about Sydney Opera House in Australia, weather condition: Windy."
1174,Taj Mahal,India,Yes,Snowy,19,Moderate,9,"Information about Taj Mahal in India, weather condition: Snowy."
1175,Mount Fuji,Japan,No,Foggy,20,Heavy,10,"Information about Mount Fuji in Japan, weather condition: Foggy."
1176,Christ the Redeemer,Brazil,Yes,Sunny,21,None,11,"Information about Christ the Redeemer in Brazil, weather condition: Sunny."
1177,Big Ben,UK,No,Cloudy,22,Light,12,"Information about Big Ben in UK, weather condition: Cloudy."
1178,Eiffel Tower,France,Yes,Rainy,23,Moderate,13,"Information about Eiffel Tower in France, weather condition: Rainy."
1179,Great Wall of China,China,No,Windy,24,Heavy,14,"Information about Great Wall of China in China, weather condition: Windy."
1180,Central Park,USA,Yes,Snowy,25,None,15,"Information about Central Park in USA, weather condition: Snowy."
1181,Times Square,Canada,No,Foggy,26,Light,16,"Information about Times Square in Canada, weather condition: Foggy."
1182,Berlin Wall,Germany,Yes,Sunny,27,Moderate,17,"Information about Berlin Wall in Germany, weather condition: Sunny."
1183,Sydney Opera House,Australia,No,Cloudy,28,Heavy,18,"Information about Sydney Opera House in Australia, weather condition: Cloudy."
1184,Taj Mahal,India,Yes,Rainy,29,None,19,"Information about Taj Mahal in India, weather condition: Rainy."
1185,Mount Fuji,Japan,No,Windy,30,Light,5,"Information about Mount Fuji in Japan, weather condition: Windy."
1186,Christ the Redeemer,Brazil,Yes,Snowy,31,Moderate,6,"Information about Christ the Redeemer in Brazil, weather condition: Snowy."
1187,Big Ben,UK,No,Foggy,32,Heavy,7,"Information about Big Ben in UK, weather condition: Foggy."
1188,Eiffel Tower,France,Yes,Sunny,33,None,8,"Information about Eiffel Tower in France, weather condition: Sunny."
1189,Great Wall of China,China,No,Cloudy,34,Light,9,"Information about Great Wall of China in China, weather condition: Cloudy."
1190,Central Park,USA,Yes,Rainy,35,Moderate,10,"Information about Central Park in USA, weather condition: Rainy."
1191,Times Square,Canada,No,Windy,36,Heavy,11,"Information about Times Square in Canada, weather condition: Windy."
1192,Berlin Wall,Germany,Yes,Snowy,37,None,12,"Information about Berlin Wall in Germany, weather condition: Snowy."
1193,Sydney Opera House,Australia,No,Foggy,38,Light,13,"Information about Sydney Opera House in Australia, weather condition: Foggy."
1194,Taj Mahal,India,Yes,Sunny,39,Moderate,14,"Information about Taj Mahal in India, weather condition: Sunny."
1195,Mount Fuji,Japan,No,Cloudy,40,Heavy,15,"Information about Mount Fuji in Japan, weather condition: Cloudy."
1196,Christ the Redeemer,Brazil,Yes,Rainy,41,None,16,"Information about Christ the Redeemer in Brazil, weather condition: Rainy."
1197,Big Ben,UK,No,Windy,42,Light,17,"Information about Big Ben in UK, weather condition: Windy."
1198,Eiffel Tower,France,Yes,Snowy,43,Moderate,18,"Information about Eiffel Tower in France, weather condition: Snowy."
1199,Great Wall of China,China,No,Foggy,44,Heavy,19,"Information about Great Wall of China in China, weather condition: Foggy."
1200,Central Park,USA,Yes,Sunny,15,None,5,"Information about Central Park in USA, weather condition: Sunny."
1201,Times Square,Canada,No,Cloudy,16,Light,6,"Information about Times Square in Canada, weather condition: Cloudy."
1202,Berlin Wall,Germany,Yes,Rainy,17,Moderate,7,"Information about Berlin Wall in Germany, weather condition: Rainy."
1203,Sydney Opera House,Australia,No,Windy,18,Heavy,8,"Information about Sydney Opera House in Australia, weather condition: Windy."
1204,Taj Mahal,India,Yes,Snowy,19,None,9,"Information about Taj Mahal in India, weather condition: Snowy."
1205,Mount Fuji,Japan,No,Foggy,20,Light,10,"Information about Mount Fuji in Japan, weather condition: Foggy."
1206,Christ the Redeemer,Brazil,Yes,Sunny,21,Moderate,11,"Information about Christ the Redeemer in Brazil, weather condition: Sunny."
1207,Big Ben,UK,No,Cloudy,22,Heavy,12,"Information about Big Ben in UK, weather condition: Cloudy."
1208,Eiffel Tower,France,Yes,Rainy,23,None,13,"Information about Eiffel Tower in France, weather condition: Rainy."
1209,Great Wall of China,China,No,Windy,24,Light,14,"Information about Great Wall of China in China, weather condition: Windy."
1210,Central Park,USA,Yes,Snowy,25,Moderate,15,"Information about Central Park in USA, weather condition: Snowy."
1211,Times Square,Canada,No,Foggy,26,Heavy,16,"Information about Times Square in Canada, weather condition: Foggy."
1212,Berlin Wall,Germany,Yes,Sunny,27,None,17,"Information about Berlin Wall in Germany, weather condition: Sunny."
1213,Sydney Opera House,Australia,No,Cloudy,28,Light,18,"Information about Sydney Opera House in Australia, weather condition: Cloudy."
1214,Taj Mahal,India,Yes,Rainy,29,Moderate,19,"Information about Taj Mahal in India, weather condition: Rainy."
1215,Mount Fuji,Japan,No,Windy,30,Heavy,5,"Information about Mount Fuji in Japan, weather condition: Windy."
1216,Christ the Redeemer,Brazil,Yes,Snowy,31,None,6,"Information about Christ the Redeemer in Brazil, weather condition: Snowy."
1217,Big Ben,UK,No,Foggy,32,Light,7,"Information about Big Ben in UK, weather condition: Foggy."
1218,Eiffel Tower,France,Yes,Sunny,33,Moderate,8,"Information about Eiffel Tower in France, weather condition: Sunny."
1219,Great Wall of China,China,No,Cloudy,34,Heavy,9,"Information about Great Wall of China in China, weather condition: Cloudy."
1220,Central Park,USA,Yes,Rainy,35,None,10,"Information about Central Park in USA, weather condition: Rainy."
1221,Times Square,Canada,No,Windy,36,Light,11,"Information about Times Square in Canada, weather condition: Windy."
1222,Berlin Wall,Germany,Yes,Snowy,37,Moderate,12,"Information about Berlin Wall in Germany, weather condition: Snowy."
1223,Sydney Opera House,Australia,No,Foggy,38,Heavy,13,"Information about Sydney Opera House in Australia, weather condition: Foggy."
1224,Taj Mahal,India,Yes,Sunny,39,None,14,"Information about Taj Mahal in India, weather condition: Sunny."
1225,Mount Fuji,Japan,No,Cloudy,40,Light,15,"Information about Mount Fuji in Japan, weather condition: Cloudy."
1226,Christ the Redeemer,Brazil,Yes,Rainy,41,Moderate,16,"Information about Christ the Redeemer in Brazil, weather condition: Rainy."
1227,Big Ben,UK,No,Windy,42,Heavy,17,"Information about Big Ben in UK, weather condition: Windy."
1228,Eiffel Tower,France,Yes,Snowy,43,None,18,"Information about Eiffel Tower in France, weather condition: Snowy."
1229,Great Wall of China,China,No,Foggy,44,Light,19,"Information about Great Wall of China in China, weather condition: Foggy."
1230,Central Park,USA,Yes,Sunny,15,Moderate,5,"Information about Central Park in USA, weather condition: Sunny."
1231,Times Square,Canada,No,Cloudy,16,Heavy,6,"Information about Times Square in Canada, weather condition: Cloudy."
1232,Berlin Wall,Germany,Yes,Rainy,17,None,7,"Information about Berlin Wall in Germany, weather condition: Rainy."
1233,Sydney Opera House,Australia,No,Windy,18,Light,8,"Information about Sydney Opera House in Australia, weather condition: Windy."
1234,Taj Mahal,India,Yes,Snowy,19,Moderate,9,"Information about Taj Mahal in India, weather condition: Snowy."
1235,Mount Fuji,Japan,No,Foggy,20,Heavy,10,"Information about Mount Fuji in Japan, weather condition: Foggy."
1236,Christ the Redeemer,Brazil,Yes,Sunny,21,None,11,"Information about Christ the Redeemer in Brazil, weather condition: Sunny."
1237,Big Ben,UK,No,Cloudy,22,Light,12,"Information about Big Ben in UK, weather condition: Cloudy."
1238,Eiffel Tower,France,Yes,Rainy,23,Moderate,13,"Information about Eiffel Tower in France, weather condition: Rainy."
1239,Great Wall of China,China,No,Windy,24,Heavy,14,"Information about Great Wall of China in China, weather condition: Windy."
1240,Central Park,USA,Yes,Snowy,25,None,15,"Information about Central Park in USA, weather condition: Snowy."
1241,Times Square,Canada,No,Foggy,26,Light,16,"Information about Times Square in Canada, weather condition: Foggy."
1242,Berlin Wall,Germany,Yes,Sunny,27,Moderate,17,"Information about Berlin Wall in Germany, weather condition: Sunny."
1243,Sydney Opera House,Australia,No,Cloudy,28,Heavy,18,"Information about Sydney Opera House in Australia, weather condition: Cloudy."
1244,Taj Mahal,India,Yes,Rainy,29,None,19,"Information about Taj Mahal in India, weather condition: Rainy."
1245,Mount Fuji,Japan,No,Windy,30,Light,5,"Information about Mount Fuji in Japan, weather condition: Windy."
1246,Christ the Redeemer,Brazil,Yes,Snowy,31,Moderate,6,"Information about Christ the Redeemer in Brazil, weather condition: Snowy."
1247,Big Ben,UK,No,Foggy,32,Heavy,7,"Information about Big Ben in UK, weather condition: Foggy."
1248,Eiffel Tower,France,Yes,Sunny,33,None,8,"Information about Eiffel Tower in France, weather condition: Sunny."
1249,Great Wall of China,China,No,Cloudy,34,Light,9,"Information about Great Wall of China in China, weather condition: Cloudy."
1250,Central Park,USA,Yes,Rainy,35,Moderate,10,"Information about Central Park in USA, weather condition: Rainy."
1251,Times Square,Canada,No,Windy,36,Heavy,11,"Information about Times Square in Canada, weather condition: Windy."
1252,Berlin Wall,Germany,Yes,Snowy,37,None,12,"Information about Berlin Wall in Germany, weather condition: Snowy."
1253,Sydney Opera House,Australia,No,Foggy,38,Light,13,"Information about Sydney Opera House in Australia, weather condition: Foggy."
1254,Taj Mahal,India,Yes,Sunny,39,Moderate,14,"Information about Taj Mahal in India, weather condition: Sunny."
1255,Mount Fuji,Japan,No,Cloudy,40,Heavy,15,"Information about Mount Fuji in Japan, weather condition: Cloudy."
1256,Christ the Redeemer,Brazil,Yes,Rainy,41,None,16,"Information about Christ the Redeemer in Brazil, weather condition: Rainy."
1257,Big Ben,UK,No,Windy,42,Light,17,"Information about Big Ben in UK, weather condition: Windy."
1258,Eiffel Tower,France,Yes,Snowy,43,Moderate,18,"Information about Eiffel Tower in France, weather condition: Snowy."
1259,Great Wall of China,China,No,Foggy,44,Heavy,19,"Information about Great Wall of China in China, weather condition: Foggy."
1260,Central Park,USA,Yes,Sunny,15,None,5,"Information about Central Park in USA, weather condition: Sunny."
1261,Times Square,Canada,No,Cloudy,16,Light,6,"Information about Times Square in Canada, weather condition: Cloudy."
1262,Berlin Wall,Germany,Yes,Rainy,17,Moderate,7,"Information about Berlin Wall in Germany, weather condition: Rainy."
1263,Sydney Opera House,Australia,No,Windy,18,Heavy,8,"Information about Sydney Opera House in Australia, weather condition: Windy."
1264,Taj Mahal,India,Yes,Snowy,19,None,9,"Information about Taj Mahal in India, weather condition: Snowy."
1265,Mount Fuji,Japan,No,Foggy,20,Light,10,"Information about Mount Fuji in Japan, weather condition: Foggy."
1266,Christ the Redeemer,Brazil,Yes,Sunny,21,Moderate,11,"Information about Christ the Redeemer in Brazil, weather condition: Sunny."
1267,Big Ben,UK,No,Cloudy,22,Heavy,12,"Information about Big Ben in UK, weather condition: Cloudy."
1268,Eiffel Tower,France,Yes,Rainy,23,None,13,"Information about Eiffel Tower in France, weather condition: Rainy."
1269,Great Wall of China,China,No,Windy,24,Light,14,"Information about Great Wall of China in China, weather condition: Windy."
1270,Central Park,USA,Yes,Snowy,25,Moderate,15,"Information about Central Park in USA, weather condition: Snowy."
1271,Times Square,Canada,No,Foggy,26,Heavy,16,"Information about Times Square in Canada, weather condition: Foggy."
1272,Berlin Wall,Germany,Yes,Sunny,27,None,17,"Information about Berlin Wall in Germany, weather condition: Sunny."
1273,Sydney Opera House,Australia,No,Cloudy,28,Light,18,"Information about Sydney Opera House in Australia, weather condition: Cloudy."
